#100NEWSALON,#100NEWSALON,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
A3973,A3973,BALACA PELO,PVNN,ONNN,ZNPNN,ZSPNN,VYNN,DOC,0,,4221,FANTASIA,PELO SINTETICO,BALACAS,GENERAL
A3974,A3974,BALACA PELO,OSNN,ZNPNN,ZYSNN,ZOYNN,VPNN,DOC,1.5CM,,4225,FANTASIA,PELO SINTETICO,BALACAS,GENERAL
A3975,A3975,BALACA PELO,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,12,,4217,FANTASIA,PELO SINTETICO,PELO,GENERAL
A3976,A3976,BALACA PELO,YVNNN,YSVNN,WZYNN,VPNNN,ZYNNN,DOC,4 CM,,4214,FANTASIA,PELO SINTETICO,PELO,GENERAL
A3982,A3982,ORGANIZADOR,RUN,PNN,ZNNN,ZUNN,WRU,UND,,,,CACHARROS,ORGANIZADORES,GENERAL,GENERAL
A3983,A3983,ORGANIZADOR CORAZON,ZVNN,ZUNN,ZPNN,YPNN,RNN,UND,13*12*2.5CM,,3917,EXHIBIDORES Y ORGANIZADORES,ORGANIZADORES,GENERAL,GENERAL
A3985,A3985,ORGANIZADOR MARIPOSA,ZSNN,ZPNN,YZNN,WYNN,PNN,UND,,,2884,GENERAL,GENERAL,GENERAL,GENERAL
A3986,A3986,ORGANZADOR,ZNNN,ZZNN,ZWNN,YNNN,UNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
A3989,A3989,ARETE BRILLO,YNNN,YYNN,YSNN,VNNN,ZNNN,PAR,8,,7641,BRILLO,ARETES,GENERAL,GENERAL
A3990,A3990,ARETE BRILLO,YNNN,YYNN,YSNN,VNNN,ZNNN,PAR,8,,7642,BRILLO,ARETES,GENERAL,GENERAL
A3991,A3991,ARETE BRILLO,YNNN,YYNN,YPNN,VNNN,ZNNN,PAR,7.5,,7641,BRILLO,ARETES,GENERAL,GENERAL
A3993,A3993,ARETE LARGO BORLA,YVNNN,YSVNN,WZYNN,VPNNN,ZYNNN,DOC,12,,6472,GENERAL,GENERAL,GENERAL,GENERAL
A3998,A3998,COLERO BOLAS,ZNYNN,ZNPNN,ZWYNN,YNVNN,UZNN,DOC,12,,3929,FANTASIA,COLEROS Y RESORTES,CON FIGURA,GENERAL
A4000,A4000,COLERO ROSAS,ZNYNN,ZNPNN,ZWYNN,YNVNN,UZNN,DOC,12,,3911,FANTASIA,COLEROS Y RESORTES,CON FIGURA,GENERAL
A4001,A4001,COLERO MICKEY,ZNYNN,ZNPNN,ZWYNN,YNVNN,UZNN,DOC,12,,3958,FANTASIA,COLEROS Y RESORTES,CON FIGURA,GENERAL
A4003,A4003,COLERO PERLAS,ONNN,OSNN,ZNPNN,ZPNNN,VUNN,DOC,12,,3913,GENERAL,GENERAL,GENERAL,GENERAL
A4004,A4004,COLERO PERLA,OSNN,ZNYNN,ZYSNN,ZOYNN,VPNN,DOC,12,,3971,FANTASIA,COLEROS Y RESORTES,CON FIGURA,GENERAL
A4005,A4005,COLERO PERLAS,ONNN,OSNN,ZZVNN,ZPNNN,VUNN,DOC,12,,3926,GENERAL,GENERAL,GENERAL,GENERAL
A4007,A4007,COLERO PERLAS,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,12,,3973,GENERAL,GENERAL,GENERAL,GENERAL
A4011,A4011,COLERO,PVNN,ONNN,ZNPNN,ZSPNN,VYNN,DOC,12,,3961,FANTASIA,COLEROS Y RESORTES,CON FIGURA,GENERAL
A4012,A4012,RESORTE MOÑO,ZNYNN,ZNPNN,ZWYNN,YNVNN,UZNN,DOC,12,,3936,FANTASIA,COLEROS Y RESORTES,SENCILLO,GENERAL
A4014,A4014,COLERO,VYNN,VRNN,UUNN,PVNN,YZNN,DOC,12,,3965,GENERAL,GENERAL,GENERAL,GENERAL
A4017,A4017,RESORTE FLECOS,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,48,,3975,FANTASIA,COLEROS Y RESORTES,SENCILLO,GENERAL
A4018,A4018,CARTON ENSAMBLE,VNNN,VUNN,UUNN,PNNN,YNNN,PQT,9.5*6.7CM,,4516,ENSAMBLE,CARTON PARA ENSAMBLE,GENERAL,GENERAL
A4019,A4019,RESORTE MURANO,YZSNN,YWVNN,YSVNN,VWYNN,ZNPNN,DOC,72,,3976,GENERAL,GENERAL,GENERAL,GENERAL
A4022-BW,A4022-BW,RESORTE PERLAS,ONNN,OSNN,ZZVNN,ZPNNN,VUNN,DOC,12,,3981,GENERAL,GENERAL,GENERAL,GENERAL
A4022-MX,A4022-MX,RESORTE PERLAS,ONNN,OSNN,ZZVNN,ZPNNN,VUNN,DOC,12,,4157,GENERAL,GENERAL,GENERAL,GENERAL
A4023,A4023,RESORTE,RYNN,RPNN,ONNN,ZVVNN,WSNN,DOC,12,,3972,FANTASIA,COLEROS Y RESORTES,CON FIGURA,GENERAL
A4024,A4024,RESORTE MOÑO,VPNN,UVNN,SNNN,OSNN,YVNN,DOC,12,,3976,GENERAL,GENERAL,GENERAL,GENERAL
A4026,A4026,PAÑOLETA MALLA,ZPNNN,ZOPNN,YWVNN,WSNNN,ONNN,DOC,60 X45 CM,,3428,FANTASIA,BALACAS,GENERAL,GENERAL
A4027,A4027,PAÑOLETA VELO,ZPNNN,ZOPNN,YWVNN,WSNNN,ONNN,DOC,45 X 60 CM,,3427,FANTASIA,BALACAS,GENERAL,GENERAL
A4034,A4034,PAÑOLETA COLOMBIA,ZOPNN,YYYNN,YUPNN,WOSNN,OONN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
A4044-1L,A4044-1L,PULSERA DE LINEAS,UUN,RNN,PNN,ZZNN,YRU,UND,1,,7155,GENERAL,GENERAL,GENERAL,GENERAL
A4044-2L,A4044-2L,PULSERA DE LINEAS,ZYNN,ZWNN,ZSNN,YVNN,SNN,UND,1,,7156,GENERAL,GENERAL,GENERAL,GENERAL
A4044-3L,A4044-3L,PULSERA DE LINEAS,ZPNN,YNNN,YWNN,WSNN,ONN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
A4044-5L,A4044-5L,PULSERA DE LINEAS,WNNN,WWNN,WONN,SNNN,ZUNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
A4049,A4049,CAMANDULA OLOR,ZOYNN,YZSNN,YVNNN,WPVNN,OSNN,DOC,12,,2008,GENERAL,GENERAL,GENERAL,GENERAL
A4050,A4050,DENARIO PERLA,YYYNN,YVSNN,YPPNN,VVVNN,ZZZNN,DOC,12,,2007,FANTASIA,COLLARES,CAMANDULAS,GENERAL
A4051,A4051,ARETE BORLA,RNNN,RUNN,ZNNNN,ZVNNN,WUNN,PAR,7.0,,7641,FANTASIA,ARETES,FINOS,GENERAL
A4053,A4053,ARETE BORLA FINA,WNNN,WWNN,VUNN,SNNN,ZUNN,PAR,9.0,,7642,FANTASIA,ARETES,FINOS,GENERAL
A4054,A4054,ARETE BORLA FINO,SUNN,RNNN,ONNN,ZWNNN,WYUN,PAR,9.0,,7642,FANTASIA,ARETES,FINOS,GENERAL
A4055,A4055,ARETE BORLA,RNNN,RUNN,PUNN,ZVNNN,WUNN,PAR,,,,FANTASIA,ARETES,FINOS,GENERAL
A4056,A4056,ARETE BORLA,ZUUNN,ZRZNN,YNYNN,WZNNN,RPNN,PAR,0,,,FANTASIA,ARETES,FINOS,GENERAL
A4057,A4057,ARETE BORLA,SNNN,SUNN,PUNN,ZYNNN,WNNN,PAR,4.5,,7643,FANTASIA,ARETES,FINOS,GENERAL
A4060,A4060,CANDONGA FINA BORLA,UUNN,SNNN,RUNN,ZZNNN,YRUN,PAR,4.0,,7643,FANTASIA,ARETES,FINOS,GENERAL
A4062,A4062,ARETE BORLA,SNNN,SUNN,RUNN,ZYNNN,WNNN,UND,,,7643,FANTASIA,ARETES,FINOS,GENERAL
A4065,A4065,BOLSA,ZVNN,ZUNN,ZPNN,YPNN,RNN,UND,1,,4638,EMPAQUES,BOLSAS ECOLOGICAS,GENERAL,GENERAL
A4066,A4066,BOLSA,ZUNN,ZSUN,YNNN,WNNN,RUN,UND,50X40,,4639,EMPAQUES PARA REGALOS,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4068,A4068,BOLSA REGALO,RUNN,PUNN,OPNN,ZUNNN,WRUN,PQT,15X20,,4648,EMPAQUES PARA REGALOS,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4069,A4069,BOLSA REGALO,VUNN,UNNN,SNNN,ONNN,YYUN,PQT,18X16X8,,4655,EMPAQUES PARA REGALOS,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4070,A4070,BOLSA REGALO,UUNN,SNNN,RNNN,ZZNNN,YRUN,PQT,25.5X32,,4654,EMPAQUES PARA REGALOS,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4071,A4071,BOLSA REGALO,ZUNN,ZRNN,YNNN,WNNN,RUN,UND,39X29,,4699-4700-4701-4703-4635,EMPAQUES PARA REGALOS,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4074,A4074,CAJA DE REGALO,ZNYNN,ZZVNN,ZWYNN,YNVNN,UZNN,DOC,,,4731-4717,GENERAL,GENERAL,GENERAL,GENERAL
A4075,A4075,CAJA DE REGALO,ZNYNN,ZZVNN,ZWYNN,YNVNN,UZNN,DOC,,,4714,GENERAL,GENERAL,GENERAL,GENERAL
A4076,A4076,CAJA DE REGALO,ZNPNN,ZZVNN,ZVVNN,YZSNN,UVNN,DOC,,,4723,GENERAL,GENERAL,GENERAL,GENERAL
A4077,A4077,CAJA DE REGALO X24,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,PQT,24,,4708,GENERAL,GENERAL,GENERAL,GENERAL
A4079,A4079,CAJA DE REGALO X24,ZSYNN,ZRVNN,YNVNN,WYVNN,PZNN,PQT,24,,4701,EMPAQUES,CAJAS DE REGALO,GENERAL,GENERAL
A4080,A4080,CAJA DE REGALO X24,ZVVNN,ZUONN,ZPPNN,YPPNN,RYNN,PQT,24,,,GENERAL,GENERAL,GENERAL,GENERAL
A4082,A4082,CAJA REGALO,RPNN,PVNN,ZNPNN,ZUSNN,WONN,DOC,5*8CM,,,EMPAQUES,CAJAS DE REGALO,GENERAL,GENERAL
A4083,A4083,CAJA DE REGALO X24,ZOYNN,YZSNN,YVNNN,WPVNN,OSNN,PQT,24,,,GENERAL,GENERAL,GENERAL,GENERAL
A4086,A4086,CAJA REGALO,ZYNNN,ZWYNN,ZSPNN,YVNNN,SNNN,DOC,4 X 21 CM,,4743,EMPAQUES PARA REGALOS,CAJAS DE REGALO,GENERAL,GENERAL
A4088,A4088,CAJA DE REGALO X24,ZUSNN,ZRVNN,YNVNN,WZYNN,RPNN,PQT,24,,4702,EMPAQUES,CAJAS DE REGALO,GENERAL,GENERAL
A4089,A4089,CAJA REGALO,PVNN,OYNN,ZNONN,ZSPNN,VYNN,DOC,5X8,,4717,EMPAQUES,CAJAS DE REGALO,GENERAL,GENERAL
A4090,A4090,CAJA REGALO,RYNN,RPNN,ZNYNN,ZVVNN,WSNN,DOC,4X4,,4733,EMPAQUES PARA REGALOS,CAJAS DE REGALO,GENERAL,GENERAL
A4091,A4091,CAJA REGALO,RYNN,RPNN,ZNYNN,ZVVNN,WSNN,DOC,4X4,,4731,EMPAQUES PARA REGALOS,CAJAS DE REGALO,GENERAL,GENERAL
A4093,A4093,CAJA REGALO,ZYNNN,ZWYNN,ZSPNN,YVNNN,SNNN,DOC,21X4,,4744,EMPAQUES PARA REGALOS,CAJAS DE REGALO,GENERAL,GENERAL
A4102,A4102,BOLSA FRESA,ZPNN,YNNN,YWNN,WSNN,ONN,UND,50 X 35 CM,,4840-4839,EMPAQUES PARA REGALOS,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4103,A4103,BOLSA ROSA,YYNN,YVNN,YONN,VVNN,ZZNN,UND,37X50CM,,4841,EMPAQUES PARA REGALOS,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4104,A4104,BOLSA,YSNN,YONN,WUNN,UYNN,ZWNN,UND,1,,4842,EMPAQUES,BOLSAS ECOLOGICAS,GENERAL,GENERAL
A4105,A4105,MORRAL PORTATIL,SPNN,RUNN,ONNN,ZWUNN,WVNN,UND,1,,5076-5075-5074,BOLSOS BILLETERAS Y CORREAS,TULAS,GENERAL,GENERAL
A4106,A4106,BOLSA REGALO,ZUSNN,ZRVNN,YZSNN,WZYNN,RPNN,DOC,18x23,,4678,EMPAQUES PARA REGALOS,BOLSAS DE REGALO,GENERAL,GENERAL
A4107,A4107,BOLSA REGALO,ZUNNN,ZSYNN,ZOUNN,WNNNN,RUNN,DOC,18x24x8,,4696,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4108,A4108,BOLSA REGALO,ZUNNN,ZSYNN,ZOUNN,WNNNN,RUNN,DOC,28x24x8,,4658,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4109,A4109,CAJA REGALO,UVNN,SNNN,RNNN,ZNPNN,YRNN,DOC,8.8 X 8.8 X 18 CM,,,EMPAQUES PARA REGALOS,CAJAS DE REGALO,GENERAL,GENERAL
A4110,A4110,BOLSA REGALO PQÑA,VYNN,VPNN,UVNN,PVNN,YZNN,DOC,11x8,,4732,EMPAQUES PARA REGALOS,BOLSAS DE REGALO,GENERAL,GENERAL
A4111-22X16,A4111-22X16,BOLSA REGALO,SSNN,RYNN,PVNN,ZWYNN,WWNN,DOC,22x16x8,,4731,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4111-22X28,A4111-22X28,BOLSA REGALO,PVNN,ONNN,ZNPNN,ZSPNN,VYNN,DOC,28x22x11,,4732,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4111-26X32,A4111-26X32,BOLSA REGALO,OSNN,ZNYNN,ZYSNN,ZOYNN,VPNN,DOC,36x26x12,,4729-4730,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4111-G,A4111-G,BOLSA PAPEL,ZZVNN,ZYSNN,ZVVNN,YYPNN,URNN,DOC,12,,4435,GENERAL,GENERAL,GENERAL,GENERAL
A4111-M,A4111-M,BOLSA PAPEL,OSNN,ZNYNN,ZYSNN,ZOYNN,VPNN,DOC,12,,4437,GENERAL,GENERAL,GENERAL,GENERAL
A4111-S,A4111-S,BOLSA PAPEL,RYNN,RPNN,OSNN,ZVVNN,WSNN,DOC,12,,4616,GENERAL,GENERAL,GENERAL,GENERAL
A4114,A4114,BOLSA DE REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,18x24,,4694,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4115,A4115,BOLSA REGALO,ZUSNN,ZRYNN,YZSNN,WZYNN,RPNN,DOC,18x24x8,,4695,EMPAQUES PARA REGALOS,BOLSAS DE REGALO,GENERAL,GENERAL
A4117,A4117,BOLSA REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,18x23,,4675,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4119,A4119,COSMETIQUERA,SUNN,RYNN,PUNN,ZWNNN,WYUN,UND,1,,6601,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4120,A4120,COSMETIQUERA,SUNN,RYNN,PUNN,ZWNNN,WYUN,UND,1,,6628,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4139,A4139,BOLSA REGALO,ZOYNN,YZSNN,YUYNN,WOSNN,OSNN,PQT,41X32,,4701,EMPAQUES,BOLSAS REUTILIZABLES,GENERAL,GENERAL
A4141,A4141,BILLETERA,UUNN,SNNN,RNNN,ZZNNN,YRUN,UND,1,,6568,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A4143,A4143,BILLETERA DAMA,ZWNN,ZVNN,ZPNN,YSNN,SUN,UND,19X9,,6548,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A414-TR990,A414-TR990,DEPILADOR DE VELLO NARIZ OREJA,ONNN,OONN,ZZRNN,ZPNNN,VUNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
A4153,A4153,COSMETIQUERA,SUNN,RNNN,PUNN,ZWNNN,WYUN,UND,1,,6573-6549,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4154,A4154,COSMETIQUERA,VYNN,VPNN,SNNN,PVNN,YZNN,UND,23X15,,6613,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4155,A4155,COSMETIQUERA,SNNN,SUNN,RPNN,ZYNNN,WNNN,UND,1,,6570-6556,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4156,A4156,COSMETIQUERA,SNNN,SUNN,PUNN,ZYNNN,WNNN,UND,1,,6591,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4157,A4157,COSMETIQUERA,SNNN,SUNN,RUNN,ZYNNN,WNNN,UND,1,,6572,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4158,A4158,COSMETIQUERA,SUNN,RNNN,PUNN,ZWNNN,WYUN,UND,23CM,,6596,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4159,A4159,COSMETIQUERA,SUNN,RNNN,PUNN,ZWNNN,WYUN,UND,0,,6649,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4160,A4160,COSMETIQUERA,UUNN,SNNN,RNNN,ZZNNN,YRUN,UND,,,6647,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4162,A4162,COSMETIQUERA,SRNN,RUNN,PUNN,ZWUNN,WWUN,UND,24X10CM,,6573,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4164,A4164,COSMETIQUERA X2,SPNN,RUNN,PPNN,ZWSNN,WVNN,UND,1,,6618,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4165,A4165,COSMETIQUERA X3,RUNN,PUNN,ZNUNN,ZUNNN,WRUN,UND,,,6610,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4166,A4166,COSMETIQUERA MIRELLAS,SUNN,RUNN,PUNN,ZWNNN,WYUN,UND,1,,6600,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4170,A4170,BOLSO NIÑA,ZYUNN,ZWPNN,ZSWNN,YUNNN,SYUN,UND,1,,5098-5099-5100,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4171,A4171,BOLSO NIÑA,ZYUNN,ZWPNN,ZSWNN,YUNNN,SYUN,UND,,,5125-5126,GENERAL,GENERAL,GENERAL,GENERAL
A4173,A4173,BOLSO NIÑA,ZYUNN,ZWPNN,ZSWNN,YUNNN,SYUN,UND,1,,5091-5092-5093,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4175,A4175,BOLSO NIÑA,ZZNNN,ZYZNN,ZVWNN,YYNNN,UUNN,UND,,,6635-5173-5073,GENERAL,GENERAL,GENERAL,GENERAL
A4176,A4176,BOLSO NIÑA,ZNUNN,ZZSNN,ZWRNN,YZNNN,UYUN,UND,1,,6498-6500-6515,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4177,A4177,BOLSO NIÑA,ZNUNN,ZZSNN,ZWRNN,YZNNN,UYUN,UND,1,,5122,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4188,A4188,MONEDERO,ZOYNN,YNVNN,YVNNN,WPVNN,OSNN,DOC,12,,6640,GENERAL,GENERAL,GENERAL,GENERAL
A4189,A4189,BOLSO NIÑA,WNNNN,WWNNN,WONNN,SNNNN,ZUNNN,DOC,0,,5094,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4193,A4193,BOLSO NIÑA,UNNN,UUNN,RNNN,ZNNNN,YUNN,UND,0,,5105,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4194,A4194,BOLSO NIÑA,VUNN,UNNN,UONN,ONNN,YYUN,UND,1,,5125,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4196,A4196,BOLSO NIÑA,SUNN,RNNN,ONNN,ZWNNN,WYUN,UND,Dimension,,5098-5099-5100-5091,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4197,A4197,BOLSO NIÑA,RPNN,PSNN,ZNYNN,ZUSNN,WONN,UND,1,,5124,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4198,A4198,BOLSO NIÑA,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,UND,1,,6524-6538,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4199,A4199,BOLSO NIÑA,ZZUNN,ZYRNN,ZUNNN,YWNNN,URUN,UND,134X30CM,,5129-5110-5109-5108,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4200,A4200,BOLSO NIÑA,OUNN,ZZNNN,ZWUNN,ZONNN,VRUN,UND,32X27CM,,5123,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4204,A4204,BOLSO NIÑA,ZZNNN,ZYNNN,ZVWNN,YYNNN,UUNN,UND,1,,5114,BOLSOS BILLETERAS Y CORREAS,BOLSO NIÑA,GENERAL,GENERAL
A4206,A4206,TULA COLOMBIA,YUYNN,YRRNN,WYPNN,UNVNN,ZYSNN,DOC,12,,,BOLSOS BILLETERAS Y CORREAS,TULAS,GENERAL,GENERAL
A4216,A4216,CAJA DE REGALO,OUNN,ZNUNN,ZYUNN,ZONNN,VRUN,PQT,50,,4732,EMPAQUES,CAJAS DE REGALO,GENERAL,GENERAL
A4219-1,A4219-1,BOLSA REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,18x23,,4703,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4219-2,A4219-2,BOLSA REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,18x23x10,,4649,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4219-3,A4219-3,BOLSA REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,18x23,,4684,EMPAQUES PARA REGALOS,BOLSAS DE REGALO,GENERAL,GENERAL
A4219-4,A4219-4,BOLSA REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,18x23,,4693,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4219-5,A4219-5,BOLSA REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,18x23,,4677,EMPAQUES PARA REGALOS,BOLSAS DE REGALO,GENERAL,GENERAL
A4219-6,A4219-6,BOLSA REGALO,ZUNNN,ZSYNN,ZOYNN,WNNNN,RUNN,DOC,12,,4667,EMPAQUES,BOLSAS DE REGALO,GENERAL,GENERAL
A4222,A4222,COSMETIQUERA,UPNN,SUNN,RUNN,ZZSNN,YONN,UND,1,,6604,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4226,A4226,COSMETIQUERA X2,UUNN,SNNN,RUNN,ZZNNN,YRUN,PQT,2,,6606,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4232,A4232,BILLETERA DE DAMA,ZUNNN,ZSUNN,YZNNN,WNNNN,RUNN,UND,19*9*3CM,,,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A4233,A4233,BILLETERA,ZVUNN,ZSNNN,YNNNN,YONNN,RYUN,UND,19*9*3CM,,,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A4234,A4234,BILLETERA DAMA,ZVNNN,ZUUNN,ZPNNN,YPNNN,RNNN,UND,,,6543,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A4235,A4235,BILLETERA DAMA,ZUNNN,ZSUNN,ZOUNN,WNNNN,RUNN,UND,19X9,,6542,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A4236,A4236,OP45747 REF19010-835,ZUNNN,ZSUNN,ZOUNN,WNNNN,RUNN,UND,1,,6545-6552,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A4237,A4237,BILLETERA DAMA,ZVNNN,ZUUNN,ZPNNN,YPNNN,RNNN,UND,1,,6552,BOLSOS BILLETERAS Y CORREAS,BILLETERAS,GENERAL,GENERAL
A4238-1,A4238-1,BOLSO,ONNN,OONN,ZZRNN,ZPNNN,VUNN,UND,1,,5040,BOLSOS BILLETERAS Y CORREAS,BOLSOS DAMA,GENERAL,GENERAL
A4238-2,A4238-2,BOLSO,ONNN,OONN,ZZRNN,ZPNNN,VUNN,UND,1,,5010,GENERAL,GENERAL,GENERAL,GENERAL
A4269,A4269,MONEDERO,ZSPNN,ZPUNN,YZONN,WWSNN,PVNN,DOC,12,,4789,BOLSOS BILLETERAS Y CORREAS,MONEDEROS,GENERAL,GENERAL
A4270,A4270,MONEDERO,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,,,6611,GENERAL,GENERAL,GENERAL,GENERAL
A4271,A4271,MONEDERO,ZSPNN,ZPUNN,YZONN,WWSNN,PVNN,DOC,,,4790,BOLSOS BILLETERAS Y CORREAS,MONEDEROS,GENERAL,GENERAL
A4272,A4272,MONEDERO,ZPNNN,ZOPNN,YWVNN,WSNNN,ONNN,DOC,12,,4787,BOLSOS BILLETERAS Y CORREAS,MONEDEROS,GENERAL,GENERAL
A4273,A4273,LLAVERO PELUCHE,ZOPNN,YZSNN,YVNNN,WOSNN,OONN,DOC,12,,6378,GENERAL,GENERAL,GENERAL,GENERAL
A4274,A4274,MONEDERO,OSNN,ZNSNN,ZYUNN,ZOYNN,VPNN,DOC,12,,4783,BOLSOS BILLETERAS Y CORREAS,MONEDEROS,GENERAL,GENERAL
A4275,A4275,COSMETIQUERA X5,VNNN,VUNN,UNNN,PNNN,YNNN,UND,5,,6635,GENERAL,GENERAL,GENERAL,GENERAL
A4277,A4277,COSMETIQUERA,UUNN,SZNN,RYNN,ZZNNN,YRUN,UND,1,,6595,ARTICULOS DE BELLEZA,COSMETIQUERAS,GENERAL,GENERAL
A4278,A4278,COSMETIQUERA,UUNN,SNNN,RNNN,ZZNNN,YRUN,UND,1,,6602,BOLSOS BILLETERAS Y CORREAS,COSMETIQUERAS,GENERAL,GENERAL
A4280,A4280,BOLSO FIESTA,YYNNN,YVYNN,YPSNN,VVNNN,ZZNNN,UND,13X13X10,,5036,BOLSOS BILLETERAS Y CORREAS,BOLSOS DE FIESTA,GENERAL,GENERAL
A4281,A4281,BOLSO FIESTA MIRELLAS,YVNNN,YSNNN,WWNNN,VPNNN,ZYNNN,UND,20X4X9.5X8,,5052-5053-5054,BOLSOS BILLETERAS Y CORREAS,BOLSOS DE FIESTA,GENERAL,GENERAL
A4282,A4282,BOLSO FIESTA,YWNNN,YUWNN,YOONN,VSNNN,ZZUNN,UND,29X14X5,,5074-5075-5076,BOLSOS BILLETERAS Y CORREAS,BOLSOS DE FIESTA,GENERAL,GENERAL
